iter	Passed	Remaining
0	3	379
1	7	372
2	10	340
3	12	309
4	15	302
5	18	294
6	21	291
7	24	285
8	27	280
9	30	275
10	32	266
11	34	255
12	36	245
13	38	236
14	40	227
15	41	218
16	43	210
17	44	202
18	45	195
19	47	188
20	48	182
21	49	176
22	50	170
23	51	164
24	52	158
25	53	153
26	54	148
27	55	143
28	56	139
29	57	134
30	58	130
31	59	127
32	60	123
33	61	119
34	62	116
35	63	113
36	64	110
37	65	107
38	66	104
39	67	101
40	68	98
41	69	95
42	70	92
43	71	90
44	72	88
45	73	85
46	74	83
47	75	81
48	76	79
49	78	78
50	80	76
51	83	76
52	84	75
53	86	73
54	87	71
55	88	69
56	89	67
57	90	65
58	92	63
59	93	62
60	94	60
61	95	58
62	97	57
63	98	55
64	99	53
65	101	52
66	102	50
67	103	48
68	104	47
69	106	45
70	107	43
71	108	42
72	109	40
73	111	39
74	112	37
75	113	35
76	114	34
77	116	32
78	117	31
79	118	29
80	120	28
81	121	26
82	122	25
83	124	23
84	126	22
85	127	20
86	128	19
87	130	17
88	131	16
89	132	14
90	134	13
91	135	11
92	136	10
93	137	8
94	139	7
95	140	5
96	141	4
97	142	2
98	144	1
99	145	0
